IE_XML_ID;IE_NAME;IC_GROUP0;IC_GROUP1;IC_GROUP2;CR_PRICE_1_USD
56460;"Термошкаф антивандальный 19"" 9U ARM6047600-168";Антивандальные термошкафы ITProm;;;553.72
56461;"Термошкаф антивандальный 19"" 12U ARM6060600-168";Антивандальные термошкафы ITProm;;;661.24
56462;"Термошкаф антивандальный 19"" 9U ARM6047450-168";Антивандальные термошкафы ITProm;;;516.09
56463;"Термошкаф антивандальный 19"" 12U ARM6065450-168";Антивандальные термошкафы ITProm;;;576.57
56464;"Термошкаф антивандальный 19"" 15U ARM6070600-168";Антивандальные термошкафы ITProm;;;784.89
56465;"Термошкаф антивандальный 19"" 24U ARM60120600-168";Антивандальные термошкафы ITProm;;;1029.49
56466;"Термошкаф антивандальный 19"" 24U ARM60120800-168";Антивандальные термошкафы ITProm;;;1198.83
56467;"Термошкаф антивандальный 19"" 42U ARM60196.3600-168";Антивандальные термошкафы ITProm;;;1549.61
63783;Термошкаф  T-4030150;Термошкафы ITProm;Серия T;;263.42
63784;Термошкаф  T-3040150;Термошкафы ITProm;Серия T;;260.73
63785;Термошкаф  T-5040150;Термошкафы ITProm;Серия T;;297.02
63786;Термошкаф  T-4060200-100;Термошкафы ITProm;Серия T;;322.56
63787;Термошкаф  T-5050200-100;Термошкафы ITProm;Серия T;;327.93
63788;Термошкаф  T-5070200-150;Термошкафы ITProm;Серия T;;377.66
63789;Термошкаф  T-6060200-150;Термошкафы ITProm;Серия T;;374.97
63790;Термошкаф  T-3030210-45;Термошкафы ITProm;Серия T;;286.27
63791;Термошкаф  T-3040210-45;Термошкафы ITProm;Серия T;;299.71
63792;Термошкаф  T-3830210-45;Термошкафы ITProm;Серия T;;291.64
63793;Термошкаф  T-3838210-100;Термошкафы ITProm;Серия T;;299.71
63794;Термошкаф  T-3860210-100;Термошкафы ITProm;Серия T;;341.37
63795;Термошкаф  T-4050210-100;Термошкафы ITProm;Серия T;;333.31
63796;Термошкаф  T-5050210-100;Термошкафы ITProm;Серия T;;368.25
63797;Термошкаф  T-6038210-100;Термошкафы ITProm;Серия T;;356.16
63798;Термошкаф  T-6060210-150;Термошкафы ITProm;Серия T;;403.2
63799;Термошкаф  T-6076210-150;Термошкафы ITProm;Серия T;;463.67
63800;Термошкаф  T-7676210-250;Термошкафы ITProm;Серия T;;651.83
63801;Термошкаф  T-10076210-250;Термошкафы ITProm;Серия T;;888.37
63802;Термошкаф  T-4040250-100;Термошкафы ITProm;Серия T;;123.65
63803;Термошкаф  T-4050250-100;Термошкафы ITProm;Серия T;;315.84
63804;Термошкаф  T-4060250-100;Термошкафы ITProm;Серия T;;341.37
63805;Термошкаф  T-4065250-150;Термошкафы ITProm;Серия T;;129.02
63806;Термошкаф  T-5070250-150;Термошкафы ITProm;Серия T;;392.44
63807;Термошкаф  T-6060250-150;Термошкафы ITProm;Серия T;;415.29
63808;Термошкаф  T-6080250-250;Термошкафы ITProm;Серия T;;556.41
63809;Термошкаф  T-60100250-250;Термошкафы ITProm;Серия T;;615.55
63810;Термошкаф  T-6565250-250;Термошкафы ITProm;Серия T;;138.43
63811;Термошкаф  T-4080300-150;Термошкафы ITProm;Серия T;;135.74
63812;Термошкаф  T-5050300-100;Термошкафы ITProm;Серия T;;439.48
63813;Термошкаф  T-6060300-150;Термошкафы ITProm;Серия T;;409.92
63814;Термошкаф  T-6080300-250;Термошкафы ITProm;Серия T;;575.23
63815;Термошкаф  T-60100300-250;Термошкафы ITProm;Серия T;;654.52
63816;Термошкаф  T-60120300-250;Термошкафы ITProm;Серия T;;689.46
63817;Термошкаф  T-7676300-250;Термошкафы ITProm;Серия T;;673.34
63818;Термошкаф  T-8060300-250;Термошкафы ITProm;Серия T;;755.32
63819;Термошкаф  T-8080300-250;Термошкафы ITProm;Серия T;;655.86
63820;Термошкаф  T-80100300-250;Термошкафы ITProm;Серия T;;733.82
63821;Термошкаф  T-80120300-400;Термошкафы ITProm;Серия T;;852.09
63822;Термошкаф  T-100100300-400;Термошкафы ITProm;Серия T;;930.04
63823;Термошкаф  T-100120300-400;Термошкафы ITProm;Серия T;;1072.5
63824;Термошкаф  T-100140300-400;Термошкафы ITProm;Серия T;;1231.09
63825;Термошкаф  T-3860350-100;Термошкафы ITProm;Серия T;;458.3
63826;Термошкаф  T-6038350-100;Термошкафы ITProm;Серия T;;469.05
