en
S,en,Kazakhstan,ru,Р С™Р В°Р В·Р В°РЎвЂ¦РЎРѓРЎвЂљР В°Р Р…
R,en,Almaty obl,ru,Р С’Р В»Р С?Р В°РЎвЂљРЎвЂ№
T,en,Ushtob,ru,Р Р€РЎв‚¬РЎвЂљР С•Р В±Р Вµ
T,en,Ushara,ru,Р Р€РЎв‚¬Р В°РЎР‚Р В°Р В»
T,en,Tekeli,ru,Р СћР ВµР С”Р ВµР В»Р С‘
T,en,Talgar,ru,Р СћР В°Р В»Р С–Р В°РЎР‚
T,en,Kaskelen,ru,Р С™Р В°РЎРѓР С”Р ВµР В»Р ВµР Р…
T,en,Kapchaga,ru,Р С™Р В°Р С—РЎвЂЎР В°Р С–Р В°Р в„–
T,en,Esik,ru,Р вЂўРЎРѓР С‘Р С”
T,en,Zharken,ru,Р вЂ“Р В°РЎР‚Р С”Р ВµР Р…РЎвЂљ
T,en,Taldykorgan,ru,Р СћР В°Р В»Р Т‘РЎвЂ№Р С”Р С•РЎР‚Р С–Р В°Р Р…
R,en,Atyrau obl,ru,Р С’РЎвЂљРЎвЂ№РЎР‚Р В°РЎС“
T,en,Atyrau,ru,Р С’РЎвЂљРЎвЂ№РЎР‚Р В°РЎС“
R,en,East Kazakhstan obl,ru,Р вЂ™Р С•РЎРѓРЎвЂљР С•РЎвЂЎР Р…Р С•-Р С™Р В°Р В·Р В°РЎвЂ¦РЎРѓРЎвЂљР В°Р Р…РЎРѓР С”Р В°РЎРЏ Р С•Р В±Р В»
T,en,Shemonaix,ru,Р РЃР ВµР С?Р С•Р Р…Р В°Р С‘РЎвЂ¦Р В°
T,en,Ayago,ru,Р С’РЎРЏР С–Р С•Р В·
T,en,Ust-Kamenogorsk ,ru,Р Р€РЎРѓРЎвЂљРЎРЉ-Р С™Р В°Р С?Р ВµР Р…Р С•Р С–Р С•РЎР‚РЎРѓР С”
T,en,Zyrayanov,ru,Р вЂ”РЎвЂ№РЎР‚РЎРЏР Р…Р С•Р Р†РЎРѓР С”
T,en,Kurchato,ru,Р С™РЎС“РЎР‚РЎвЂЎР В°РЎвЂљР С•Р Р†
T,en,Ridder,ru,Р В Р С‘Р Т‘Р Т‘Р ВµРЎР‚
T,en,Semipalatinsk,ru,Р РЋР ВµР С?Р С‘Р С—Р В°Р В»Р В°РЎвЂљР С‘Р Р…РЎРѓР С”
T,en,Serebryans,ru,Р РЋР ВµРЎР‚Р ВµР В±РЎР‚РЎРЏР Р…РЎРѓР С”
T,en,Shulbinsk,ru,Р РЃРЎС“Р В»РЎРЉР В±Р С‘Р Р…РЎРѓР С”
R,en,Jambyl obl,ru,Р вЂ“Р В°Р С?Р В±РЎвЂ№Р В»РЎРЉРЎРѓР С”Р В°РЎРЏ Р С•Р В±Р В»
T,en,Kulan,ru,Р С™РЎС“Р В»Р В°Р Р…
T,en,Korday,ru,Р С™Р С•РЎР‚Р Т‘Р В°Р в„–
T,en,Zhanata,ru,Р вЂ“Р В°Р Р…Р В°РЎвЂљР В°РЎРѓ
T,en,Taraz,ru,Р СћР В°РЎР‚Р В°Р В·
T,en,Ch,ru,Р РЃРЎС“
R,en,West Kazakhstan obl,ru,Р вЂ”Р В°Р С—Р В°Р Т‘Р Р…Р С•-Р С™Р В°Р В·Р В°РЎвЂ¦РЎРѓРЎвЂљР В°Р Р…РЎРѓР С”Р В°РЎРЏ Р С•Р В±Р В»
T,en,Aksay,ru,Р С’Р С”РЎРѓР В°Р в„–
T,en,Uralsk ,ru,Р Р€РЎР‚Р В°Р В»РЎРЉРЎРѓР С”
T,en,Chapaev,ru,Р В§Р В°Р С—Р В°Р ВµР Р†
R,en,Karagandy obl,ru,Р С™Р В°РЎР‚Р В°Р С–Р В°Р Р…Р Т‘Р С‘Р Р…РЎРѓР С”Р В°РЎРЏ Р С•Р В±Р В»
T,en,Satpaev,ru,Р РЋР В°РЎвЂљР С—Р В°Р ВµР Р†
T,en,Sarany,ru,Р РЋР В°РЎР‚Р В°Р Р…РЎРЉ
T,en,Karazal,ru,Р С™Р В°РЎР‚Р В°Р В¶Р В°Р В»
T,en,Karaganda,ru,Р С™Р В°РЎР‚Р В°Р С–Р В°Р Р…Р Т‘Р В°
