en
S,en,Ukraine,ru,Р Р€Р С”РЎР‚Р В°Р С‘Р Р…Р В°,ru,Р Р€Р С”РЎР‚Р В°РЎвЂ”Р Р…Р В°
T,en,Kiev,ru,Р С™Р С‘РЎвЂ”Р Р†,ua,Р С™Р С‘РЎвЂ”Р Р†
R,en,Ivano-frankivs'ka obl,ru,IР Р†Р В°Р Р…Р С•-Р В¤РЎР‚Р В°Р Р…Р С”iР Р†РЎРѓРЎРЉР С”Р В° Р С•Р В±Р В»,ua,IР Р†Р В°Р Р…Р С•-Р В¤РЎР‚Р В°Р Р…Р С”iР Р†РЎРѓРЎРЉР С”Р В° Р С•Р В±Р В»
T,en,Babche,ru,Р вЂ?Р В°Р В±РЎвЂЎР Вµ,ua,Р вЂ?Р В°Р В±РЎвЂЎР Вµ
T,en,Bogorodchani,ru,Р вЂ?Р С•Р С–Р С•РЎР‚Р С•Р Т‘РЎвЂЎР В°Р Р…Р С‘,ua,Р вЂ?Р С•Р С–Р С•РЎР‚Р С•Р Т‘РЎвЂЎР В°Р Р…Р С‘
T,en,Bogrivka,ru,Р вЂ?Р С•Р С–РЎР‚iР Р†Р С”Р В°,ua,Р вЂ?Р С•Р С–РЎР‚iР Р†Р С”Р В°
T,en,Glibivka,ru,Р вЂњР В»Р С‘Р В±iР Р†Р С”Р В°,ua,Р вЂњР В»Р С‘Р В±iР Р†Р С”Р В°
T,en,Gliboke,ru,Р вЂњР В»Р С‘Р В±Р С•Р С”Р Вµ,ua,Р вЂњР В»Р С‘Р В±Р С•Р С”Р Вµ
T,en,Goroholina,ru,Р вЂњР С•РЎР‚Р С•РЎвЂ¦Р С•Р В»Р С‘Р Р…Р В°,ua,Р вЂњР С•РЎР‚Р С•РЎвЂ¦Р С•Р В»Р С‘Р Р…Р В°
T,en,Goroholin lis,ru,Р вЂњР С•РЎР‚Р С•РЎвЂ¦Р С•Р В»Р С‘Р Р… Р вЂєiРЎРѓ,ua,Р вЂњР С•РЎР‚Р С•РЎвЂ¦Р С•Р В»Р С‘Р Р… Р вЂєiРЎРѓ
T,en,Grabovets',ru,Р вЂњРЎР‚Р В°Р В±Р С•Р Р†Р ВµРЎвЂ РЎРЉ,ua,Р вЂњРЎР‚Р В°Р В±Р С•Р Р†Р ВµРЎвЂ РЎРЉ
T,en,Guta,ru,Р вЂњРЎС“РЎвЂљР В°,ua,Р вЂњРЎС“РЎвЂљР В°
T,en,Grinivka,ru,Р вЂњРЎР‚Р С‘Р Р…iР Р†Р С”Р В°,ua,Р вЂњРЎР‚Р С‘Р Р…iР Р†Р С”Р В°
T,en,Dzvinjach,ru,Р вЂќР В·Р Р†Р С‘Р Р…РЎРЏРЎвЂЎ,ua,Р вЂќР В·Р Р†Р С‘Р Р…РЎРЏРЎвЂЎ
T,en,Zhuraki,ru,Р вЂ“РЎС“РЎР‚Р В°Р С”Р С‘,ua,Р вЂ“РЎС“РЎР‚Р В°Р С”Р С‘
T,en,Zaberezhzhja,ru,Р вЂ”Р В°Р В±Р ВµРЎР‚Р ВµР В¶Р В¶РЎРЏ,ua,Р вЂ”Р В°Р В±Р ВµРЎР‚Р ВµР В¶Р В¶РЎРЏ
T,en,Ivanikivka,ru,IР Р†Р В°Р Р…Р С‘Р С”iР Р†Р С”Р В°,ua,IР Р†Р В°Р Р…Р С‘Р С”iР Р†Р С”Р В°
T,en,Kosmach,ru,Р С™Р С•РЎРѓР С?Р В°РЎвЂЎ,ua,Р С™Р С•РЎРѓР С?Р В°РЎвЂЎ
T,en,Krivets',ru,Р С™РЎР‚Р С‘Р Р†Р ВµРЎвЂ РЎРЉ,ua,Р С™РЎР‚Р С‘Р Р†Р ВµРЎвЂ РЎРЉ
T,en,Krichka,ru,Р С™РЎР‚Р С‘РЎвЂЎР С”Р В°,ua,Р С™РЎР‚Р С‘РЎвЂЎР С”Р В°
T,en,Lukvitsja,ru,Р вЂєРЎС“Р С”Р Р†Р С‘РЎвЂ РЎРЏ,ua,Р вЂєРЎС“Р С”Р Р†Р С‘РЎвЂ РЎРЏ
T,en,Markova,ru,Р СљР В°РЎР‚Р С”Р С•Р Р†Р В°,ua,Р СљР В°РЎР‚Р С”Р С•Р Р†Р В°
T,en,Mizhgir'ja,ru,Р СљiР В¶Р С–iРЎР‚'РЎРЏ,ua,Р СљiР В¶Р С–iРЎР‚'РЎРЏ
T,en,Monastirchani,ru,Р СљР С•Р Р…Р В°РЎРѓРЎвЂљР С‘РЎР‚РЎвЂЎР В°Р Р…Р С‘,ua,Р СљР С•Р Р…Р В°РЎРѓРЎвЂљР С‘РЎР‚РЎвЂЎР В°Р Р…Р С‘
T,en,Manjava,ru,Р СљР В°Р Р…РЎРЏР Р†Р В°,ua,Р СљР В°Р Р…РЎРЏР Р†Р В°
T,en,Nivochin,ru,Р СњР С‘Р Р†Р С•РЎвЂЎР С‘Р Р…,ua,Р СњР С‘Р Р†Р С•РЎвЂЎР С‘Р Р…
T,en,Pidgir'JA,ru,Р СџiР Т‘Р С–iРЎР‚'Р Р‡,ua,Р СџiР Т‘Р С–iРЎР‚'Р Р‡
T,en,Porogi,ru,Р СџР С•РЎР‚Р С•Р С–Р С‘,ua,Р СџР С•РЎР‚Р С•Р С–Р С‘
T,en,Pohivka,ru,Р СџР С•РЎвЂ¦iР Р†Р С”Р В°,ua,Р СџР С•РЎвЂ¦iР Р†Р С”Р В°
T,en,Rakovets',ru,Р В Р В°Р С”Р С•Р Р†Р ВµРЎвЂ РЎРЉ,ua,Р В Р В°Р С”Р С•Р Р†Р ВµРЎвЂ РЎРЉ
T,en,Rosil'na,ru,Р В Р С•РЎРѓiР В»РЎРЉР Р…Р В°,ua,Р В Р С•РЎРѓiР В»РЎРЉР Р…Р В°
T,en,Sadzhava,ru,Р РЋР В°Р Т‘Р В¶Р В°Р Р†Р В°,ua,Р РЋР В°Р Т‘Р В¶Р В°Р Р†Р В°
T,en,Skobichivka,ru,Р РЋР С”Р С•Р В±Р С‘РЎвЂЎiР Р†Р С”Р В°,ua,Р РЋР С”Р С•Р В±Р С‘РЎвЂЎiР Р†Р С”Р В°
T,en,Solotvin,ru,Р РЋР С•Р В»Р С•РЎвЂљР Р†Р С‘Р Р…,ua,Р РЋР С•Р В»Р С•РЎвЂљР Р†Р С‘Р Р…
