серия T;ПРОИЗВОДИТЕЛЬ;РАЗМЕРЫ Ш*В*Г;ЦЕНА В ЕВРО НДС;Дополнительно к шкафу панель нижняя или боковые стенки;ТЕРМОСТАТ DBK охлождение;ТЕРМОСТАТ DBK ОБОГРЕВ;ОБОГРЕВ по мощности см.артикул послед 2-3 цифры;РЕШЕТКА ФИЛЬТР DBK;Вентилятор N/N;Железная решотка защита вентилятора;Розетка на Din реку;Автомат на Din реку;Клейммы;DIN рейка +метизы;Утеплитель;ЦЕНА В ЕВРО ЗАКУПКА;ЦЕНА В РУБ. ЗАКУПКА;ЦЕНА В ЕВРО РОЗНИЦА;ЦЕНА В РУБ. Розница;;;КУРС ЕВРО
TL-4030150-50;ВЭ;400x300x150;33,51 €;;11,00 €;11,00 €;26,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;108,93 €;7 080,45 ?;196,07 €;12 744,81 ?;;;65,00р.
TL-3040150-50;ВЭ;300x400x150;32,81 €;;11,00 €;11,00 €;26,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;108,23 €;7 034,95 ?;194,81 €;12 662,91 ?;;;
TL-5040150-100;ВЭ;500x400x150;45,38 €;;11,00 €;11,00 €;28,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;122,80 €;7 982,00 ?;221,04 €;14 367,60 ?;;;
;ВЭ;400x600x200;55,15 €;;11,00 €;11,00 €;26,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,48 €;133,63 €;8 685,95 ?;240,53 €;15 634,71 ?;;;
;ВЭ;500x500x200;57,25 €;;11,00 €;11,00 €;26,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,65 €;135,90 €;8 833,50 ?;244,62 €;15 900,30 ?;;;
;ВЭ;500x700x200;72,96 €;;11,00 €;11,00 €;28,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;10,30 €;156,26 €;10 156,90 ?;281,27 €;18 282,42 ?;;;
;ВЭ;600x600x200;72,26 €;;11,00 €;11,00 €;28,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;10,20 €;155,46 €;10 104,90 ?;279,83 €;18 188,82 ?;;;
;Риттал;300x300x210;48,18 €;;11,00 €;11,00 €;22,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;3,67 €;118,85 €;7 725,25 ?;213,93 €;13 905,45 ?;;;
;Риттал;300x400x210;52,40 €;;11,00 €;11,00 €;22,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;4,54 €;123,94 €;8 056,10 ?;223,09 €;14 500,98 ?;;;
;Риттал;380x300x210;49,27 €;;11,00 €;11,00 €;22,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;4,37 €;120,64 €;7 841,60 ?;217,15 €;14 114,88 ?;;;
;Риттал;380x380x210;52,24 €;;11,00 €;11,00 €;22,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;5,17 €;124,41 €;8 086,52 ?;223,93 €;14 555,74 ?;;;
;Риттал;380x600x210;64,05 €;;11,00 €;11,00 €;26,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;6,27 €;141,32 €;9 185,80 ?;254,38 €;16 534,44 ?;;;
;Риттал;400x500x210;60,46 €;;11,00 €;11,00 €;26,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;6,61 €;138,07 €;8 974,55 ?;248,53 €;16 154,19 ?;;;
;Риттал;500x500x210;73,40 €;;11,00 €;11,00 €;26,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,82 €;152,22 €;9 894,30 ?;274,00 €;17 809,74 ?;;;
;Риттал;600x380x210;68,99 €;;11,00 €;11,00 €;26,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,38 €;147,37 €;9 579,05 ?;265,27 €;17 242,29 ?;;;
;Риттал;600x600x210;83,55 €;;11,00 €;11,00 €;28,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;10,40 €;166,95 €;10 851,75 ?;300,51 €;19 533,15 ?;;;
;Риттал;600x760x210;106,43 €;;11,00 €;11,00 €;28,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;12,60 €;192,03 €;12 481,95 ?;345,65 €;22 467,51 ?;;;
;Риттал;760x760x210;140,50 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;15,25 €;269,75 €;17 533,75 ?;485,55 €;31 560,75 ?;;;
;Риттал;1000x760x210;234,12 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;19,20 €;367,32 €;23 875,80 ?;661,18 €;42 976,44 ?;;;
;;400x400x250;;;11,00 €;11,00 €;;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;6,12 €;51,12 €;3 322,80 ?;92,02 €;5 981,04 ?;;;
;ВЭ;400x500x250;52,36 €;;11,00 €;11,00 €;26,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,23 €;130,59 €;8 488,35 ?;235,06 €;15 279,03 ?;;;
;ВЭ;400x600x250;61,79 €;;11,00 €;11,00 €;26,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;8,33 €;141,12 €;9 172,80 ?;254,02 €;16 511,04 ?;;;
;;400x650x250;;;11,00 €;11,00 €;;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;8,88 €;53,88 €;3 502,20 ?;96,98 €;6 303,96 ?;;;
;ВЭ;500x700x250;78,19 €;;11,00 €;11,00 €;28,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;11,05 €;162,24 €;10 545,60 ?;292,03 €;18 982,08 ?;;;
;ВЭ;600x600x250;87,62 €;;11,00 €;11,00 €;28,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;11,22 €;171,84 €;11 169,60 ?;309,31 €;20 105,28 ?;;;
;ВЭ;600x800x250;102,28 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;14,04 €;230,32 €;14 970,80 ?;414,58 €;26 947,44 ?;;;
;ВЭ;600x1000x250;123,57 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;17,00 €;254,57 €;16 547,05 ?;458,23 €;29 784,69 ?;;;
;;650x650x250;;;11,00 €;11,00 €;;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;12,71 €;57,71 €;3 751,15 ?;103,88 €;6 752,07 ?;;;
