серия TL;ПРОИЗВОДИТЕЛЬ;РАЗМЕРЫ Ш*В*Г;ЦЕНА В ЕВРО НДС;Дополнительно к шкафу панель нижняя или боковые стенки;ТЕРМОСТАТ DBK охлождение;ТЕРМОСТАТ DBK ОБОГРЕВ;ОБОГРЕВ по мощности см.артикул послед 2-3 цифры;РЕШЕТКА ФИЛЬТР DBK;Вентилятор N/N;Железная решотка защита вентилятора;Розетка на Din реку;Автомат на Din реку;Клейммы;DIN рейка +метизы;Утеплитель;ЦЕНА В ЕВРО ЗАКУПКА;ЦЕНА В РУБ. ЗАКУПКА;ЦЕНА В ЕВРО РОЗНИЦА;ЦЕНА В РУБ. Розница;;;КУРС ЕВРО
TL-2030120-10;Риттал;200х300х120;35,00 €;;;11,00 €;22,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;79,42 €;5 162,30 ?;142,96 €;9 292,14 ?;;;
TL-2030150-30;ВЭ;200х300х150;27,58 €;;;11,00 €;22,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;72,00 €;4 680,00 ?;129,60 €;8 424,00 ?;;;
TL-2530150-30;ВЭ;250х300х150;29,32 €;;;11,00 €;22,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;73,74 €;4 793,10 ?;132,73 €;8 627,58 ?;;;
TL-3030150-30;ВЭ;300х300х150;30,72 €;;;11,00 €;22,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;75,14 €;4 884,10 ?;135,25 €;8 791,38 ?;;;
TL-4030150-50;ВЭ;400х300х150;33,51 €;;;11,00 €;26,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;81,93 €;5 325,45 ?;147,47 €;9 585,81 ?;;;
TL-3040150-50;ВЭ;300х400х150;32,81 €;;;11,00 €;26,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;81,23 €;5 279,95 ?;146,21 €;9 503,91 ?;;;
TL-5040150-100;ВЭ;500х400х150;45,38 €;;;11,00 €;28,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;95,80 €;6 227,00 ?;172,44 €;11 208,60 ?;;;
TL-2030155-30;Риттал;200х300х155;37,00 €;;;11,00 €;22,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;81,42 €;5 292,30 ?;146,56 €;9 526,14 ?;;;
TL-3030155-30;Риттал;300х300х155;;;;11,00 €;22,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;44,42 €;2 887,30 ?;79,96 €;5 197,14 ?;;;
TL-3830155-30;Риттал;380х300х155;;;;11,00 €;22,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;44,42 €;2 887,30 ?;79,96 €;5 197,14 ?;;;
