серия VT;ПРОИЗВОДИТЕЛЬ;РАЗМЕРЫ Ш*В*Г;ЦЕНА В ЕВРО НДС;Дополнительно к шкафу панель нижняя или боковые стенки;ТЕРМОСТАТ DBK охлождение;ТЕРМОСТАТ DBK ОБОГРЕВ;ОБОГРЕВ по мощности см.артикул послед 2-3 цифры;РЕШЕТКА ФИЛЬТР DBK;РЕШЕТКА ФИЛЬТР DBK;Вентилятор N/N;Железная решотка защита вентилятора;Розетка на Din реку;Автомат на Din реку;Клейммы;DIN рейка +метизы;Утеплитель;ЦЕНА В ЕВРО ЗАКУПКА;ЦЕНА В РУБ. ЗАКУПКА;ЦЕНА В ЕВРО РОЗНИЦА;ЦЕНА В РУБ. Розница;;;КУРС ЕВРО
;ВЭ;300x400x200;39,09 €;;11,00 €;11,00 €;22,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;119,51 €;8 885,57 ?;227,07 €;16 882,58 ?;;;74,35р.
;ВЭ;400x400x200;45,38 €;;11,00 €;11,00 €;22,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;5,44 €;126,82 €;9 429,07 ?;240,96 €;17 915,23 ?;;;
;ВЭ;400x500x200;47,13 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;6,46 €;133,59 €;9 932,42 ?;253,82 €;18 871,59 ?;;;
;ВЭ;400x600x200;55,15 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,48 €;142,63 €;10 604,54 ?;271,00 €;20 148,63 ?;;;
;ВЭ;500x500x200;57,25 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,65 €;144,90 €;10 773,32 ?;275,31 €;20 469,30 ?;;;
;ВЭ;500x700x200;72,96 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;10,30 €;165,26 €;12 287,08 ?;313,99 €;23 345,45 ?;;;
;ВЭ;600x600x200;72,26 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;10,20 €;164,46 €;12 227,60 ?;312,47 €;23 232,44 ?;;;
;Риттал;300x300x210;48,18 €;;11,00 €;11,00 €;22,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;3,67 €;127,85 €;9 505,65 ?;242,92 €;18 060,73 ?;;;
;Риттал;300x400x210;52,40 €;;11,00 €;11,00 €;22,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;4,54 €;132,94 €;9 884,09 ?;252,59 €;18 779,77 ?;;;
;Риттал;380x300x210;49,27 €;;11,00 €;11,00 €;22,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;4,37 €;129,64 €;9 638,73 ?;246,32 €;18 313,59 ?;;;
;Риттал;380x380x210;52,24 €;;11,00 €;11,00 €;22,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;5,17 €;133,41 €;9 918,88 ?;253,48 €;18 845,88 ?;;;
;Риттал;380x600x210;64,05 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;6,27 €;150,32 €;11 176,29 ?;285,61 €;21 234,95 ?;;;
;Риттал;400x500x210;60,46 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;6,61 €;147,07 €;10 934,65 ?;279,43 €;20 775,84 ?;;;
;Риттал;500x500x210;73,40 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,82 €;161,22 €;11 986,71 ?;306,32 €;22 774,74 ?;;;
;Риттал;600x380x210;68,99 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,38 €;156,37 €;11 626,11 ?;297,10 €;22 089,61 ?;;;
;Риттал;600x600x210;83,55 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;10,40 €;175,95 €;13 081,88 ?;334,31 €;24 855,58 ?;;;
;Риттал;600x760x210;106,43 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;12,60 €;201,03 €;14 946,58 ?;381,96 €;28 398,50 ?;;;
;Риттал;760x760x210;255,50 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;15,25 €;393,75 €;29 275,31 ?;748,13 €;55 623,09 ?;;;
;Риттал;1000x760x210;234,12 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;19,20 €;376,32 €;27 979,39 ?;715,01 €;53 160,84 ?;;;
;;400x400x250;;;11,00 €;11,00 €;;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;6,12 €;60,12 €;4 469,92 ?;114,23 €;8 492,85 ?;;;
;ВЭ;400x500x250;52,36 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,23 €;139,59 €;10 378,52 ?;265,22 €;19 719,18 ?;;;
;ВЭ;400x600x250;61,79 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;8,33 €;150,12 €;11 161,42 ?;285,23 €;21 206,70 ?;;;
;;400x650x250;;;11,00 €;11,00 €;;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;8,88 €;62,88 €;4 675,13 ?;119,47 €;8 882,74 ?;;;
;ВЭ;500x700x250;78,19 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;11,05 €;171,24 €;12 731,69 ?;325,36 €;24 190,22 ?;;;
;ВЭ;600x600x250;87,62 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;11,22 €;180,84 €;13 445,45 ?;343,60 €;25 546,36 ?;;;
;ВЭ;600x800x250;102,28 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;14,04 €;239,32 €;17 793,44 ?;454,71 €;33 807,54 ?;;;
;ВЭ;600x1000x250;123,57 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;17,00 €;263,57 €;19 596,43 ?;500,78 €;37 233,22 ?;;;
;;650x650x250;;;11,00 €;11,00 €;;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;12,71 €;66,71 €;4 959,89 ?;126,75 €;9 423,79 ?;;;
